bias_mode,channel_mode,k,index,code,name,after_de,new_de,improvement,after_lab_L,after_lab_a,after_lab_b,new_lab_L,new_lab_a,new_lab_b,pred_code,pred_de,correct,actual_shift_L,actual_shift_a,actual_shift_b
global,L,0.0,1,W015,桔红,1.9680873554355354,1.9679835701289965,0.00010378530653887275,54.638999938964844,40.57400131225586,37.167999267578125,54.638999938964844,40.57400131225586,37.167999267578125,W015,1.9679841319714337,True,,,
global,L,0.0,2,W016,橙红色,1.920251623535713,1.920526558773132,-0.00027493523741894954,51.249000549316406,30.930999755859375,24.78499984741211,51.249000549316406,30.930999755859375,24.78499984741211,W016,1.9205270896943716,True,,,
global,L,0.0,3,W031,淡雅黄,0.8582189471677338,0.8584294656548928,-0.0002105184871589172,77.09600067138672,-1.562999963760376,27.850000381469727,77.09600067138672,-1.562999963760376,27.850000381469727,W031,0.8584301052969552,True,,,
global,L,0.0,4,W032,柠檬黄,2.284830227294805,2.285105762292188,-0.00027553499738308673,79.47000122070312,-5.783999919891357,30.476999282836914,79.47000122070312,-5.783999919891357,30.476999282836914,W032,2.2851049288999166,True,,,
global,L,0.0,5,W047,浅棕桐,1.7765384978283238,1.7764726432545457,6.585457377816795e-05,65.76599884033203,1.6469999551773071,12.461999893188477,65.76599884033203,1.6469999551773071,12.461999893188477,W047,1.7764728807143144,True,,,
global,L,0.0,6,W048,灰米色,3.947506214904199,3.947232917242815,0.0002732976613839533,68.85600280761719,3.0940001010894775,8.144000053405762,68.85600280761719,3.0940001010894775,8.144000053405762,W048,3.947230423437156,True,,,
global,L,0.0,7,W063,木纹灰,4.616260155010519,4.616249703463657,1.0451546861744987e-05,71.86399841308594,-0.5630000233650208,0.4880000054836273,71.86399841308594,-0.5630000233650208,0.4880000054836273,W063,4.616250188753034,True,,,
global,L,0.0,8,W064,乌托银,4.920880775736599,4.920613959355212,0.00026681638138725816,54.08599853515625,-1.496000051498413,-1.4620000123977661,54.08599853515625,-1.496000051498413,-1.4620000123977661,W080,4.751960825360153,False,,,
global,L,0.0,9,W079,钛晶灰,0.8806783970484106,0.8806592859180885,1.9111130322047032e-05,41.790000915527344,0.5440000295639038,1.3630000352859497,41.790000915527344,0.5440000295639038,1.3630000352859497,W079,0.8806591311235837,True,,,
global,L,0.0,10,W080,中行灰,2.895308367014764,2.8958196814060417,-0.0005113143912778284,48.30099868774414,0.6129999756813049,-0.8529999852180481,48.30099868774414,0.6129999756813049,-0.8529999852180481,W080,2.8958208764163493,True,,,
global,L,0.0,11,W095,暗灰色,1.7197041834666544,1.719993228092733,-0.00028904462607859394,41.77299880981445,2.130000114440918,-2.759999990463257,41.77299880981445,2.130000114440918,-2.759999990463257,W095,1.7199934728393789,True,,,
global,L,0.0,12,W096,慕云灰,5.675964125844963,5.676284206630864,-0.0003200807859009558,70.14099884033203,-3.688999891281128,7.36899995803833,70.14099884033203,-3.688999891281128,7.36899995803833,W063,5.27029932764272,False,,,
leave_one_out,L,0.0,1,W015,桔红,1.9680873554355354,1.9679835701289965,0.00010378530653887275,,,,54.638999938964844,40.57400131225586,37.167999267578125,W015,1.9679841319714337,True,0.0,-0.0,0.0
